name,sku,description,url,metatitle,metadescription,metakeyword,quantity,price,wholesaleprice,firstsaleprice,secondsaleprice,specialpricefrom,specialpriceto,image,category,productfeatures
American Diamond Pendant Set ,PDS-2302-70-AD,"Dynasty in its look, a highly creative Necklace to suite your matching standards.",,,,,10,35000,35000,,,,,"PDS-2302-70-AD-01-(2).jpg , PDS-2302-70-AD-01-(4).jpg , PDS-2302-70-AD-01-(5).jpg",AD Pendant Set,"Dynasty in its look, a highly creative Necklace to suite your matching standards."
Italian Jewellery Pendant Set ,PDS-2551-52-IJ,Attitude is classy & this necklace stands above all design with such a exotic look it is hard to resist yourself.,,,,,10,35000,35000,,,,,"PDS-2551-52-IJ-01-(1).jpg , PDS-2551-52-IJ-01-(4).jpg , PDS-2551-52-IJ-01-(6).jpg",Italian Pendant Set,Attitude is classy & this necklace stands above all design with such a exotic look it is hard to resist yourself.
Italian Jewellery Pendant Set ,PDS-2105-110-IJ,Especially handcrafted for the real occasion this exquisite necklace is worth wearing.,,,,,10,20250,20250,,,,,"PDS-2105-110-IJ-01-(1).jpg , PDS-2105-110-IJ-01-(3).jpg , PDS-2105-110-IJ-01-(4).jpg",Italian Pendant Set,Especially handcrafted for the real occasion this exquisite necklace is worth wearing.
Italian Jewellery Pendant Set ,PDS-2368-24-IJ,Especially handcrafted for the real occasion this exquisite necklace is worth wearing.,,,,,10,27500,27500,,,,,"PDS-2368-24-IJ-01-(1).jpg , PDS-2368-24-IJ-01-(3).jpg , PDS-2368-24-IJ-01-(4).jpg",Italian Pendant Set,Especially handcrafted for the real occasion this exquisite necklace is worth wearing.
Italian Jewellery Pendant Set ,PDS-2550-52-IJ,A synonym of highness is this beautifully crafted necklace.,,,,,10,32500,32500,,,,,"PDS-2550-52-IJ-01-(1).jpg , PDS-2550-52-IJ-01-(3).jpg , PDS-2550-52-IJ-01-(4).jpg",Italian Pendant Set,A synonym of highness is this beautifully crafted necklace.
American Diamond Pendant Set & Finger ring,PFN-34-32-AD,A loop of beauty with a party design makes this necklace set ready to wear for any occasions.,,,,,10,32500,32500,,,,,"PFN-34-32-AD-IT-01-(2).jpg , PFN-34-32-AD-IT-01-(3).jpg , PFN-34-32-AD-IT-01-(4).jpg",AD Pendant Set,A loop of beauty with a party design makes this necklace set ready to wear for any occasions.
American Diamond Pendant & Booties,PB-1406-32-AD,Necklace set with classy design which can swoon anyone with its look.,,,,,10,18500,18500,,,,,"PB-1406-32-AD-01-(1).jpg , PB-1406-32-AD-01-(3).jpg , PB-1406-32-AD-01-(4).jpg",AD Pendant Set,Necklace set with classy design which can swoon anyone with its look.
American Diamond Pendant & Booties,PB-1677-70-AD,"Magical feel, isn't it? This Mind blowing necklace deserves to be worn around your neck.",,,,,10,42500,42500,,,,,"PB-1677-70-AD-01-(1).jpg , PB-1677-70-AD-01-(3).jpg , PB-1677-70-AD-01-(4).jpg , ",AD Pendant Set,"Magical feel, isn't it? This Mind blowing necklace deserves to be worn around your neck."
American Diamond Pendant Set & Finger ring,PFN-39-32-AD,Touch of Queen & elegance that personified this stunning necklace.,,,,,10,30500,30500,,,,,"PFN-39-32-AD-IT-01-(1).jpg , PFN-39-32-AD-IT-01-(3).jpg , PFN-39-32-AD-IT-01-(4).jpg",AD Pendant Set,Touch of Queen & elegance that personified this stunning necklace.
American Diamond Pendant Set & Finger ring,PFN-38-32-AD-IJ,A classy contemporary design of necklace to suite your classy look.,,,,,10,32500,32500,,,,,"PFN-38-32-AD-IT-01-(1).jpg , PFN-38-32-AD-IT-01-(3).jpg , PFN-38-32-AD-IT-01-(4).jpg",Pendant Set,A classy contemporary design of necklace to suite your classy look.
Italian Jewellery Pendant Set ,PDS-2530-52-IJ,"Artistic design at its best, a brilliant piece of art in this necklace truly deserves the second look.",,,,,10,22500,22500,,,,,"PDS-2530-52-IJ-01-(1).jpg , PDS-2530-52-IJ-01-(4).jpg , PDS-2530-52-IJ-01-(5).jpg",Italian Pendant Set,"Artistic design at its best, a brilliant piece of art in this necklace truly deserves the second look."
Italian Jewellery Pendant Set ,PDS-2531-52-IJ,Beautifully engraved the diamond in hybrid design gives this necklace an adorable touch.,,,,,10,25000,25000,,,,,"PDS-2531-52-IJ-01-(1).jpg , PDS-2531-52-IJ-01-(3).jpg , PDS-2531-52-IJ-01-(4).jpg",Italian Pendant Set,Beautifully engraved the diamond in hybrid design gives this necklace an adorable touch.
