name,sku,description,url,metatitle,metadescription,metakeyword,quantity,price,wholesaleprice,firstsaleprice,secondsaleprice,specialpricefrom,specialpriceto,image,category,productfeatures
Vilandi Set ,Set-9040-24-VL ,Fashonable Vilandi set designed with Acute Diamond and Meenakari ,,,,,10,45500,45500,,,,,"Set-9040-24-01 (1).jpg,Set-9040-24-01 (3).jpg,Set-9040-24-01 (4).jpg",Vilandi Necklace Set,Elegant Vilandi set designed with Acute Diamond and Meenakari 
American Diamond,Mala-1576-24-AD ,"Designer Necklace set with American Diamond and Brass  , Amberal Beats ",,,,,10,35400,35400,,,,,"Mala-1576-24-01 (1).jpg,Mala-1576-24-01 (3).jpg",AD Necklace Set,"Designer Necklace set with American Diamond and Brass  , Amberal Beats "
Vilandi Set,Set-7262-16-VL,"Elegant Vilandi set designed with Ruby Stone, American Diamond, Silver With Plated ",,,,,10,20500,20500,,,,,"Set-7262-16-01 (1).jpg,Set-7262-16-01 (3).jpg",Vilandi Necklace Set,"Elegant Vilandi set designed with Ruby Stone, American Diamond, Silver With Plated "
Vilandi Set ,Set-7705-24-VL,Stunning Vilandi set designed with Creation Set and   Preses Setting Stone ,,,,,10,20500,20500,,,,,"Set-7705-24-01 (1).jpg,Set-7705-24-01 (3).jpg,Set-7705-24-01 (4).jpg",Vilandi Necklace Set,"Stunning Vilandi set designed with Creation Set,  Preses Setting Stone "
Vilandi Set,Set-7852-16-VL,"Magnificant Vilandi set designed with American Diamond, Meenakari and Fresh Water Pearl ",,,,,10,29950,29950,,,,,"Set-7852-16-01 (1).jpg,Set-7852-16-01 (3).jpg,Set-7852-16-01 (4).jpg",Vilandi Necklace Set,"Magnificant Vilandi set designed with American Diamond, Meenakari and Fresh Water Pearl "
Vilandi Set ,Set-9526-16-VL ,"Marvelous Vilandi set designed with Meenakari, Acute Stone and Fresh Water Pearl ",,,,,10,16500,16500,,,,,"Set-9526-16-01 (1).jpg,Set-9526-16-01 (5).jpg",Vilandi Necklace Set,"Elegant Vilandi set designed with Meenakari, Acute Stone and Fresh Water Pearl "
Vilandi Set ,Set-7801-16-VL ,"Gorgeous Vilandi set Meenakari, Acute Stone and Ruby Mala ",,,,,10,19500,19500,,,,,"Set-7801-16-01 (1).jpg,Set-7801-16-01 (4).jpg,Set-7801-16-01 (5).jpg",Vilandi Necklace Set,"Gorgeous Vilandi set Meenakari, Acute Stone and Ruby Mala "
Vilandi Set ,Set-9424-24-VL ,"Designer Vilandi set designed with American Diamond,  Acute Stone and Creation Set ",,,,,10,25000,25000,,,,,"Set-9424-24-01 (1).jpg,Set-9424-24-01 (3).jpg,Set-9424-24-01 (4).jpg",Vilandi Necklace Set,"Designer Vilandi set designed with American Diamond,  Acute Stone and Creation Set "
Pearl Mala ,Mala-1639-24-PRL, Beautifully beaded  Pearl Mala with Acute Stone and Ruby Amberal Beats and Creation Set ,,,,,10,30000,30000,,,,,Mala-1639-24-01 (3).jpg,Pearl Mala , Beautifully beaded  Pearl Mala with Acute Stone and Ruby Amberal Beats and Creation Set 
Vilandi Pendent Set ,PDS-2069-16-VL,"Dazzling Vilandi pendent set with Fresh Water Pearl and Acute Stone , Creation Set ",,,,,10,19500,19500,,,,,PDS-2069-16-VL.jpg,Vilandi Pendent Set ,"Dazzling Vilandi pendent set with Fresh Water Pearl and Acute Stone , Creation Set "
